Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GAT,0.05,100,0.0005,128,2462.1394,2462.138916015625,36.496964,0.1336552379079653,49.61995,0.13487145801385245
GraphSAGE,0.05,100,0.0005,128,1217.6122,1217.6123046875,24.558317,0.5061930476939825,34.8943,0.5074353168408076
GIN,0.05,100,0.0005,128,662.3646,662.3645629882812,18.254292,0.7791277126891726,25.736446,0.8106965472300848
GCN,0.05,100,0.0005,256,1734.8004,1734.8004150390625,30.318985,0.40883513779671815,41.650936,0.4106833537419637
GAT,0.05,100,0.0005,256,2731.6375,2731.636962890625,37.5186,0.06077432097704458,52.265068,0.06409768760204315
GraphSAGE,0.05,100,0.0005,256,1977.5889,1977.589111328125,33.1072,0.2894894140981836,44.47009,0.2961680044730504
GIN,0.05,100,0.0005,256,1012.66815,1012.6680908203125,22.161386,0.6657842786901518,31.822447,0.7278970430294672
GCN,0.05,100,0.0005,512,1649.84,1649.8399658203125,29.578018,0.43889078174520585,40.61822,0.44090139369169873
GAT,0.05,100,0.0005,512,50750.082,50750.0859375,159.88774,-20.0166299646979,225.27779,-19.15314467748006
GraphSAGE,0.05,100,0.0005,512,1613.3589,1613.35888671875,29.83912,0.42110930562395393,40.166637,0.4345840662717819
GIN,0.05,100,0.0005,512,2011058600.0,2011058816.0,9445.452,-689413.6129241224,44844.83,-658409.796875
GCN,0.05,100,5e-05,32,1195.3754,1195.37548828125,24.900116,0.5974507616065161,34.5742,0.5986074755589167
GAT,0.05,100,5e-05,32,1744.6437,1744.6435546875,31.166594,0.36064205688504286,41.768932,0.3674321919679642
GraphSAGE,0.05,100,5e-05,32,2904.7764,2904.776611328125,39.798172,-0.002835626789185567,53.895977,9.934107462565104e-09
GIN,0.05,100,5e-05,32,1199.1676,1199.1676025390625,25.31045,0.5756223098407657,34.628998,0.6678812255462011
GCN,0.05,100,5e-05,64,1785.6261,1785.6263427734375,30.763351,0.3781387757246552,42.256668,0.3802422285079956
GAT,0.05,100,5e-05,64,2091.839,2091.839111328125,35.16621,0.2572305235219943,45.73663,0.27604369819164276
GraphSAGE,0.05,100,5e-05,64,1221.693,1221.6929931640625,24.687353,0.5072152213337722,34.952724,0.5082328716913859
GIN,0.05,100,5e-05,64,1323.5809,1323.5809326171875,25.682236,0.5147008690687301,36.38105,0.5819846093654633
GCN,0.05,100,5e-05,128,2009.1561,2009.1561279296875,33.308247,0.26975036532230395,44.823612,0.27182624240716297
GAT,0.05,100,5e-05,128,3917.7334,3917.733642578125,45.66144,-0.501494460616729,62.5918,0.02135828137397766
GraphSAGE,0.05,100,5e-05,128,1285.1376,1285.137451171875,25.722527,0.487434512853538,35.848816,0.4890500257412593
GIN,0.05,100,5e-05,128,216720.95,216720.984375,82.84449,-62.077853153178076,465.533,-60.23944614330927
GCN,0.05,100,5e-05,256,1654.3335,1654.333740234375,29.516325,0.4323036897105132,40.6735,0.4338573267062505
GAT,0.05,100,5e-05,256,4763.7246,4763.72509765625,48.312084,-0.5394556912558061,69.01974,-0.016622071464856465
GraphSAGE,0.05,100,5e-05,256,1625.0079,1625.0079345703125,29.131327,0.4398451686973932,40.311386,0.4413140465815862
GIN,0.05,100,5e-05,256,974.1338,974.1336669921875,17.485136,0.6806685654931114,31.211117,0.6962552020947138
GCN,0.05,100,5e-05,512,1757.8466,1757.8466796875,29.806562,0.4038868971156535,41.92668,0.40489556392033893
GAT,0.05,100,5e-05,512,96808.26,96808.2578125,251.32582,-39.14085447405492,311.14026,-37.38593053817749
GraphSAGE,0.05,100,5e-05,512,1622.9268,1622.9266357421875,29.528854,0.4204854863044103,40.285564,0.44305091599623364
GIN,0.05,100,5e-05,512,1410.4894,1410.4893798828125,25.429413,0.5191578931604137,37.556484,0.6382933358351389
GCN,0.05,250,0.05,32,1000.55475,1000.5548095703125,22.21227,0.6642283218282387,31.631546,0.6666702181100845
GAT,0.05,250,0.05,32,1848.1212,1848.121337890625,29.84337,0.37170421099461776,42.98978,0.37263983984788257
GraphSAGE,0.05,250,0.05,32,1196.3682,1196.3681640625,24.250982,0.5130733038767538,34.588554,0.5141878028710684
GIN,0.05,250,0.05,32,218.2215,218.2215118408203,10.106887,0.9203353287903874,14.772322,0.9241403738657633
GCN,0.05,250,0.05,64,2655.7778,2655.777587890625,41.522373,0.08346219920159614,51.53424,0.4753943681716919
