Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test MSE
GIN,0.2,200,0.005,32,2877.486572265625
GCN,0.2,200,0.005,64,7268.943359375
GAT,0.2,200,0.005,64,16954.576171875
GraphSAGE,0.2,200,0.005,64,7551.4130859375
GIN,0.2,200,0.005,64,7474.77294921875
GCN,0.2,200,0.005,128,7506.78564453125
GAT,0.2,200,0.005,128,328096448512.0
GraphSAGE,0.2,200,0.005,128,7560.98681640625
GIN,0.2,200,0.005,128,7510.0419921875
GCN,0.2,200,0.001,16,6019.3408203125
GAT,0.2,200,0.001,16,849120.1875
GraphSAGE,0.2,200,0.001,16,3015.49658203125
GIN,0.2,200,0.001,16,7507.10498046875
GCN,0.2,200,0.001,32,6769.0576171875
GAT,0.2,200,0.001,32,52254452.0
GraphSAGE,0.2,200,0.001,32,7075.5166015625
GIN,0.2,200,0.001,32,7547.70849609375
GCN,0.2,200,0.001,64,7332.2392578125
GAT,0.2,200,0.001,64,28596.353515625
GraphSAGE,0.2,200,0.001,64,7529.85791015625
GIN,0.2,200,0.001,64,7664.45654296875
GCN,0.2,200,0.001,128,7493.67431640625
GAT,0.2,200,0.001,128,71613.8828125
GraphSAGE,0.2,200,0.001,128,7559.806640625
GIN,0.2,200,0.001,128,7504.5986328125
GCN,0.2,200,0.0005,16,2924.03369140625
GAT,0.2,200,0.0005,16,12468509.0
GraphSAGE,0.2,200,0.0005,16,6068.056640625
GIN,0.2,200,0.0005,16,7481.802734375
GCN,0.2,200,0.0005,32,2406.28857421875
GAT,0.2,200,0.0005,32,1287706240.0
GraphSAGE,0.2,200,0.0005,32,7441.8291015625
GIN,0.2,200,0.0005,32,2820.9111328125
GCN,0.2,200,0.0005,64,7169.4658203125
GAT,0.2,200,0.0005,64,19370.677734375
GraphSAGE,0.2,200,0.0005,64,7507.11474609375
GIN,0.2,200,0.0005,64,7175.05322265625
GCN,0.2,200,0.0005,128,7492.81396484375
GAT,0.2,200,0.0005,128,77376.8203125
GraphSAGE,0.2,200,0.0005,128,7562.89306640625
GIN,0.2,200,0.0005,128,632429.25
GCN,0.2,200,0.0001,16,5799.39990234375
GAT,0.2,200,0.0001,16,275407616.0
GraphSAGE,0.2,200,0.0001,16,5359.67041015625
GIN,0.2,200,0.0001,16,7550.1357421875
GCN,0.2,200,0.0001,32,6359.5791015625
GAT,0.2,200,0.0001,32,28853098.0
GraphSAGE,0.2,200,0.0001,32,7448.93896484375
GIN,0.2,200,0.0001,32,7531.97900390625
GCN,0.2,200,0.0001,64,7375.306640625
GAT,0.2,200,0.0001,64,9797.908203125
GraphSAGE,0.2,200,0.0001,64,7543.72607421875
GIN,0.2,200,0.0001,64,7556.0947265625
GCN,0.2,200,0.0001,128,7468.25634765625
GAT,0.2,200,0.0001,128,38692.93359375
GraphSAGE,0.2,200,0.0001,128,7563.40966796875
GIN,0.2,200,0.0001,128,377282.8125
GCN,0.2,500,0.005,16,3317.4853515625
GAT,0.2,500,0.005,16,1047418.875
GraphSAGE,0.2,500,0.005,16,3024.658935546875
GIN,0.2,500,0.005,16,7100.23681640625
GCN,0.2,500,0.005,32,5018.63427734375
GAT,0.2,500,0.005,32,1999421440.0
GraphSAGE,0.2,500,0.005,32,7207.04833984375
GIN,0.2,500,0.005,32,2798.62890625
GCN,0.2,500,0.005,64,6798.8779296875
GAT,0.2,500,0.005,64,21240.369140625
GraphSAGE,0.2,500,0.005,64,7419.88671875
GIN,0.2,500,0.005,64,7516.98828125
GCN,0.2,500,0.005,128,7267.82373046875
GAT,0.2,500,0.005,128,184472.984375
GraphSAGE,0.2,500,0.005,128,7529.083984375
GIN,0.2,500,0.005,128,7476.12744140625
GCN,0.2,500,0.001,16,3890.236328125
GAT,0.2,500,0.001,16,75404.125
GraphSAGE,0.2,500,0.001,16,5725.212890625
GIN,0.2,500,0.001,16,4923.9697265625
GCN,0.2,500,0.001,32,5354.01220703125
GAT,0.2,500,0.001,32,750968.875
GraphSAGE,0.2,500,0.001,32,6923.0390625
GIN,0.2,500,0.001,32,7413.91162109375
GCN,0.2,500,0.001,64,6646.9404296875
GAT,0.2,500,0.001,64,31528.130859375
GraphSAGE,0.2,500,0.001,64,7385.359375
GIN,0.2,500,0.001,64,7475.65625
GCN,0.2,500,0.001,128,7363.3291015625
GAT,0.2,500,0.001,128,85644.1953125
GraphSAGE,0.2,500,0.001,128,7541.28857421875
GIN,0.2,500,0.001,128,7489.9921875
GCN,0.2,500,0.0005,16,4114.40625
GAT,0.2,500,0.0005,16,517159.96875
GraphSAGE,0.2,500,0.0005,16,6340.77099609375
GIN,0.2,500,0.0005,16,2877.5546875
GCN,0.2,500,0.0005,32,5002.31396484375
GAT,0.2,500,0.0005,32,306502048.0
GraphSAGE,0.2,500,0.0005,32,7187.53271484375
GIN,0.2,500,0.0005,32,7416.890625
GCN,0.2,500,0.0005,64,6566.150390625
GAT,0.2,500,0.0005,64,18613.447265625
GraphSAGE,0.2,500,0.0005,64,7430.8759765625
GIN,0.2,500,0.0005,64,54431.48046875
GCN,0.2,500,0.0005,128,7344.07568359375
GAT,0.2,500,0.0005,128,106954.6875
GraphSAGE,0.2,500,0.0005,128,7549.29638671875
GIN,0.2,500,0.0005,128,7489.87548828125
GCN,0.2,500,0.0001,16,3993.495849609375
GAT,0.2,500,0.0001,16,281055104.0
