Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GAT,0.05,250,0.005,64,1.0833157e-05,4022.812744140625,0.0017626835,0.9999999987710735,0.0032913762,1.0
GraphSAGE,0.05,250,0.005,64,2.8552046e-07,1873.6505126953125,0.00025834204,0.9999999999676102,0.00053434115,1.0
GIN,0.05,250,0.005,64,0.020271722,593.8784790039062,0.07415223,0.9999977003509947,0.14237879,0.9999977350234985
GCN,0.05,250,0.005,128,3.319124e-07,1526.82373046875,0.00030077808,0.9999999999623475,0.00057611836,1.0
GAT,0.05,250,0.005,128,296.35748,74905560.0,14.100706,0.9663808468303402,17.215036,0.9663861989974976
GraphSAGE,0.05,250,0.005,128,2.4564042e-07,8050.28271484375,0.00041377224,0.9999999999721343,0.00049562124,1.0
GIN,0.05,250,0.005,128,1.1752944,6665.27587890625,0.45853123,0.9998666731758353,1.0841099,0.9998899698257446
GCN,0.05,250,0.005,256,1.2440813e-07,2106.94873046875,0.00019577553,0.999999999985887,0.00035271537,1.0
GAT,0.05,250,0.005,256,12276.443,494557120.0,57.708607,-0.39265466657097536,110.79911,-0.10934221744537354
GraphSAGE,0.05,250,0.005,256,2.001417e-08,4061.003173828125,0.000113194634,0.9999999999977296,0.00014147145,1.0
GIN,0.05,250,0.005,256,0.55085576,6218.53857421875,0.2760949,0.9999375102547452,0.74219656,0.999940037727356
GCN,0.05,250,0.005,512,1.1614148e-07,1382.343994140625,0.00024627504,0.9999999999868248,0.00034079535,1.0
GAT,0.05,250,0.005,512,12596.116,12596.1171875,93.95382,-0.42891883913103435,112.23242,-0.42014920711517334
GraphSAGE,0.05,250,0.005,512,1.5183284e-06,3023.002685546875,0.001177345,0.999999999827759,0.0012322047,1.0
GIN,0.05,250,0.005,512,160.0064,5989.4365234375,4.8880196,0.9818486801923142,12.6493635,0.9842832088470459
GCN,0.05,250,0.0005,32,0.03560954,1371.7342529296875,0.097613245,0.9999959604102612,0.18870491,0.9999967217445374
GAT,0.05,250,0.0005,32,0.0011696387,53581.67578125,0.013851396,0.9999998673147652,0.034199983,0.9999998807907104
GraphSAGE,0.05,250,0.0005,32,3.7616616e-08,1854.7943115234375,0.000118317184,0.9999999999957327,0.00019395004,1.0
GIN,0.05,250,0.0005,32,0.75184876,8519.83984375,0.3371409,0.9999147093556775,0.86709213,0.9999275207519531
GCN,0.05,250,0.0005,64,5.485259e-08,1246.557861328125,0.00020077266,0.9999999999937774,0.0002342063,1.0
GAT,0.05,250,0.0005,64,9045.561,4546787.0,38.412296,-0.026139383441756037,95.108154,0.13221877813339233
GraphSAGE,0.05,250,0.0005,64,4.745569e-08,8375.255859375,0.00012256786,0.9999999999946165,0.00021784326,1.0
GIN,0.05,250,0.0005,64,0.35067457,475.1422424316406,0.30291945,0.9999602190476824,0.5921778,0.9999673962593079
GCN,0.05,250,0.0005,128,20.531864,1172.414794921875,1.9477692,0.9976708402280401,4.53121,0.9980893135070801
GAT,0.05,250,0.0005,128,9608.025,36554900.0,39.651024,-0.08994587788188046,98.02054,0.07180255651473999
GraphSAGE,0.05,250,0.0005,128,3.821362e-08,1712.1005859375,0.00014208062,0.999999999995665,0.00019548305,1.0
GIN,0.05,250,0.0005,128,0.14196165,1333.5760498046875,0.22882912,0.9999838956947386,0.37677798,0.9999859929084778
GCN,0.05,250,0.0005,256,1.8854005e-08,1344.9373779296875,0.00010297935,0.9999999999978612,0.00013730988,1.0
GAT,0.05,250,0.0005,256,17809.348,17809.34765625,94.245384,-1.0203141122944017,133.45168,-0.44405829906463623
GraphSAGE,0.05,250,0.0005,256,2.5229305e-08,4384.87255859375,0.0001436353,0.999999999997138,0.00015883736,1.0
GIN,0.05,250,0.0005,256,32.87944,6075.6904296875,2.147409,0.9962701165703277,5.73406,0.9966514706611633
GCN,0.05,250,0.0005,512,4.841394e-07,1026.5032958984375,0.0005749833,0.9999999999450786,0.0006958012,1.0
